name,latitude,longitude,place_id,vicinity
Thrikkakkara Vamana Moorthy Temple,10.0354513,76.3294884,ChIJZx5kB0YMCDsR0-Q9kXwQ6GY,"28PH+5QQ, Edappally - Pukkattupady Road, Thrikkakara, Edappally, Kochi"
Sree Math Janardhana Devasthana,9.9579005,76.24615519999999,ChIJ4ahk9DhtCDsRLpEzQEauvWE,"X65W+5F6, Ammankovil Road, Amaravathy, Fort Kochi, Kochi"
Chittoor Sree Krishna Swamy Temple,10.0333139,76.27369809999999,ChIJ3fGpL4oNCDsRwN3bk5oEyHg,"Chittoor Road, South Chittoor, Ernakulam"
Ayyappa Temple,9.957978700000002,76.27074499999999,ChIJ45opmVhtCDsR4amfi9QeZlk,"X75C+57X, PS Parameswaran Road, Willingdon Island, Kochi"
Sri Ramakrishna Math,9.9627612,76.3195657,ChIJ03iYuSdzCDsRSUUZBYp08cE,"Vyttila, Ernakulam"
Palliyarakkavu Temple,9.957478799999997,76.2532073,ChIJJUfrm0ZtCDsRo40GbcqhidU,"X743+X7W, Near Nehru Memorial Town Hall, Kappalandimukku, Mattancherry, Kochi"
Sai Baba Temple,9.9590482,76.2535078,ChIJDTi0eUZtCDsRNxT1VvDnmfY,"Sai Baba Temple, Palace Road, Fort Kochi, Kochi"
SNDP cheranelloor,9.9816358,76.2998842,ChIJYcZeXAANCDsRTmLlztIwIAw,"X7JX+MX2, Cheranallur, Ernakulam"
Ernakulam thirupthi kurem,9.9816358,76.2998842,ChIJv0u7YwANCDsR2-QOplkoE6E,"Tm Temple temple temple temple, Ernakulam"
"Shiva Temple, North Indian Charitable Trust",9.985139699999998,76.2970059,ChIJiznwgTcNCDsRRYNRFxDL1qU,"X7PW+3R2, Kathrikadavu, Kaloor, Ernakulam"
"Udaya Mandir,North Indian Charitable Trust",9.9851309,76.2969852,ChIJtfxhKzgNCDsRygrZPMFbAsQ,"Kathrikadavu, Kaloor, Ernakulam"
Shivalayam Temple,9.9876382,76.3035917,ChIJQzyKR1kNCDsR2zvG_XHg6Ys,"X8Q3+3CX, 44/3946, Pipeline Road, Kathrikadavu, Thammanam, Kochi"
Venkatachalapathi Temple Karnakodam Back Entrance,9.987284899999999,76.3045102,ChIJR-4Dlz0NCDsRbVWbhJiKOUo,"X8P3+WR6, Shivalayam Road, Thammanam, karanakodam"
Thammanam,9.982423599999999,76.3075214,ChIJ_RWbWwANCDsRhCAI-pKDSyI,"X8J5+X26, May First Road, DD Village, Thammanam, Ernakulam"
SREE VENKATACHALAPATHI TEMPLE,9.987354999999999,76.3050998,ChIJ09Jw0DoNCDsRM0hvmRHmHA8,"Kathrikadavu, Thammanam, Ernakulam"
"Sree Vanadurga Nagayakshi Devi Kshethram, Karanakodam",9.9866756,76.305835,ChIJdaUDJjsNCDsRVFomF9BSPx8,"35/2586, South Janatha Road, Karanakodam, Thammanam, Kochi"
Sree Bhalabadra Temple,9.9735564,76.2995742,ChIJnwhecXNzCDsRwfU8dCZjYZI,"X7FX+CRG, Unnamed Road, Jawahar Nagar, Elamkulam, Ernakulam"
Alungal Dhanwantari Temple,9.9860367,76.30744589999999,ChIJ27UuDlcNCDsRTPhIYd2AlN4,"Sree Narayana Devar Road, Kochi"
Sree Muthi Bhagavathy Temple,9.9880025,76.3061961,ChIJqx4I1iQNCDsRLABySMzYCCQ,"KTDSERA-31, Thammanam, Kochi"
"Sree Sidhi Vinayaka Temple, Karanakodam, Thammanam",9.9870324,76.30745879999999,ChIJxVTBEyUNCDsRFoVFvn7J05U,"35/1658, TD Sannidhi Road, karanakodam, Thammanam, Ernakulam"
Elamkulam Kavalakkal Sree Bhagavati Temple,9.9722825,76.2979399,ChIJMRO5BnUNCDsROhPW8LX4vgg,"X7CX+W58, Kaloor - Kadavanthara Road, Kathrikadavu, Kaloor, Ernakulam"
Sree Dharma Sastha Temple,9.9718787,76.2997037,ChIJQc29fMtyCDsR1GMKCwOBgyQ,"X7CX+QV4, Jawahar Nagar, Elamkulam, Ernakulam"
